id	depth	vp	phob	vs	type	h_max
1	170	1581,34	1898	868,881	песчаник 	50
2	300	1612,85	1906	886,2115	глина	51
3	480	1791,58	1945	984,513	песчаник	56
4	900	2118,46	2016	1164,297	глина 	67
5	1120	2565,47	2108	1410,1525	песчаник	81
6	1210	2380,6	2071	1308,474	алевролит	75
7	1370	2819,71	2159	1549,9845	глина 	89
8	1650	2884,7	2172	1585,729	песчаник	91
9	2200	2993,5	2193	1645,569	глина 	94
10	2220	2899,18	2175	1593,693	карбонаты	91
11	2240	2828,94	2161	1555,061	глина	89
12	2260	3027,67	2199	1664,3625	кремний	95
13	2280	3168,95	2226	1742,0665	карбонаты	100
14	2300	3748,95	2331	2061,0665	глина	118
15	2320	3609,3	2307	1984,259	песчаник	114
16	2400	3164,06	2225	1739,377	алевролит	100
17	2420	3497,74	2287	1922,901	песчаник 	110
